vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state;parking_zone;timestamp_in;timestamp_out
402;88.44;1192.12;142.55;1189.15;141.37;1167.56;87.25;1170.53;9;0.61;stop;-1;;
403;689.89;1649.22;690.41;1636.84;664.79;1635.78;664.28;1648.16;10;0.63;stop;18;1;7518
404;336.04;560.1;338.79;544.61;305.21;538.65;302.46;554.14;10;0.7;stop;-1;;
405;3375.75;1032.76;3391.18;1003.41;3377.06;995.99;3361.63;1025.34;10;0.71;stop;6;2952;7518
406;2289.65;522.32;2319.41;519.39;2317.97;504.8;2288.22;507.73;10;0.76;stop;7;1;7518
408;1391.44;1177.76;1420.78;1176.12;1419.94;1161.11;1390.59;1162.76;10;0.69;stop;12;1;7518
409;1682.35;1041.54;1712.64;1039.76;1711.78;1025.09;1681.49;1026.87;10;0.72;stop;10;1;7518
410;2992.85;460.04;3021.45;456.74;3019.9;443.33;2991.3;446.63;10;0.71;stop;7;1;7518
412;361.32;1683.89;362.2;1669.47;332.9;1667.67;332.02;1682.09;10;0.67;stop;18;1;7518
413;3576.48;711.56;3583.74;684.26;3570.08;680.63;3562.82;707.92;10;0.73;stop;6;1;7518
414;187.06;1187.8;216.8;1187.29;216.54;1171.88;186.79;1172.4;10;0.73;stop;-1;;
415;1709.59;1168.79;1739.4;1167.18;1738.58;1152.08;1708.78;1153.7;10;0.75;stop;12;1;7518
416;2802.58;1263.68;2829.43;1262.33;2828.75;1248.82;2801.9;1250.17;10;0.73;stop;13;1;7518
418;3543.35;802.95;3552.46;773.9;3537.58;769.24;3528.48;798.29;10;0.73;stop;6;1;7518
420;3347.56;916.16;3380.33;902.34;3374.31;888.06;3341.54;901.88;10;0.69;stop;6;1;7518
421;2705.88;1365.32;2720.69;1339.5;2708.37;1332.43;2693.56;1358.25;10;0.64;stop;13;1;7518
423;3767.57;196.67;3777.6;169.68;3764.31;164.73;3754.27;191.73;10;0.77;stop;6;1;7518
424;1468.87;193.24;1481.62;191.05;1476.38;160.57;1463.63;162.77;10;0.75;stop;-1;;
425;3520.28;411.95;3550.5;407.66;3548.47;393.36;3518.25;397.65;10;0.7;stop;6;1;7518
426;623.14;1236.77;655.33;1235.25;654.67;1221.36;622.48;1222.88;10;0.69;stop;12;1;7518
427;1624.22;1694.31;1624.41;1679.95;1595.53;1679.57;1595.34;1693.93;10;0.7;stop;14;1;7518
428;627.37;1218.92;655.32;1218.56;655.13;1203.58;627.18;1203.94;10;0.73;stop;12;1;7518
433;473.99;1646.2;474.21;1632.7;445.23;1632.23;445.01;1645.74;10;0.73;stop;18;1;7518
434;2537.06;1859.76;2538.75;1828.8;2523.94;1827.99;2522.25;1858.95;10;0.68;stop;16;1;7518
436;2560.3;334.48;2575.06;333.21;2572.7;305.65;2557.94;306.91;10;0.75;stop;7;1;7518
438;1794.25;268.29;1809.67;266.23;1805.8;237.39;1790.38;239.46;10;0.73;stop;-1;;
439;2331.26;1316.88;2331.55;1297.72;2288.74;1297.06;2288.45;1316.22;9;0.68;stop;13;1;7518
440;3649.93;1269.85;3653.87;1256.21;3623.2;1247.34;3619.25;1260.98;10;0.7;stop;11;1;7518
441;631.84;1650.13;662.13;1649.7;661.91;1633.94;631.62;1634.37;10;0.63;stop;18;1;7518
442;1811.61;558.01;1826.67;557.01;1824.72;527.61;1809.65;528.61;10;0.67;stop;1;1;7518
443;662.07;1244.88;677.2;1244.62;676.68;1215.12;661.55;1215.38;10;0.7;stop;12;1;7518
444;3032.14;1366.49;3042.78;1351.9;3009.86;1327.89;2999.22;1342.47;10;0.7;stop;13;1;7518
445;2610.93;494.94;2644.14;491.24;2642.44;475.94;2609.23;479.63;10;0.69;stop;7;1;7518
446;126.0;1079.29;152.85;1077.02;151.74;1063.83;124.88;1066.11;10;0.62;stop;10;1;7518
447;3282.11;1080.93;3334.7;1057.73;3326.33;1038.75;3273.74;1061.96;9;0.81;stop;-1;;
449;2066.35;98.08;2099.9;94.58;2098.4;80.23;2064.85;83.73;10;0.7;stop;4;1;7518
450;421.54;1074.73;448.98;1071.81;447.52;1058.08;420.08;1061.0;10;0.68;stop;10;4909;7518
451;2355.4;560.23;2387.74;556.86;2386.1;541.14;2353.76;544.52;10;0.74;stop;7;1;7518
453;1961.96;1574.08;1978.86;1573.73;1977.98;1532.04;1961.08;1532.4;10;0.61;stop;14;5021;7518
454;2572.76;1775.08;2573.98;1744.52;2559.11;1743.92;2557.89;1774.48;10;0.68;stop;16;1;7518
455;2034.45;1892.4;2039.76;1853.99;2022.49;1851.6;2017.18;1890.01;10;0.68;stop;15;1;7518
